会社名,勤務地,給与
アイコムシステック株式会社 | 東証1部企業グループ★残業代全額支給★賞与前年実績5.2ヵ月分,【チームで配属だから安心】 ★本社またはクライアント先への配属となります ◆本社 (自習室・ライブ…,【月給】36万円以上
株式会社第一コンピュータサービス | 日立のセグメントパートナー,【 転勤なし！ＵIターン歓迎 】 ※勤務地は希望を最大限考慮します ■名古屋支店 愛知県名古屋市中…,月給25万円〜35万円
株式会社エイ・クリエイション  | <アクロホールディングスグループ>*福利厚生充実*資格取得支援有,本社（東京都豊島区）またはクライアント先（東京都、埼玉県、千葉県、神奈川県、大阪府、広島県、岡山県…,"月給285,000円〜500,000円"
株式会社パーフェクション | 【仕事に全集中！】職場環境・福利厚生が充実した職場！,【仙台駅から徒歩圏内♪】 宮城県仙台市青葉区本町1-12-12　GMビル6F 東北電力様本社ビル目…,"月給250,000円〜400,000円＋歩合給"
株式会社System Tomorrow | 受託開発のみ！100％自社内開発⇒なので残業も転勤も無し！,—★自社内での開発が100％なので転勤はありません！ —★住宅補助制度あり／綾瀬駅より徒歩3分 —…,月給：25万円〜40万円
ファーマーズサポート株式会社 | ≪完全週休2日制(土日祝)× 年間休日120日以上≫,◆UIターン歓迎 ■鹿児島県鹿児島市名山町9-15（mark MEIZAN内） .*★快適な環境で…,月給18万〜30万円 + 諸手当
システム・エンジニアリング・ハウス株式会社 | 官公庁はじめ、大手取引先多数！安定成長中のシステム会社,本社：東京都豊島区東池袋3-11-8サンライズ小林ビル4F ┗各線池袋駅から徒歩10分 ※勤務地は…,月給：20万円〜40万円
日鉄日立システムエンジニアリング株式会社,大阪オフィスまたは近郊のクライアント先 大阪府大阪市中央区本町4丁目5番18号 本町YSビル6階…,月給：26万8000円以上（一律都市手当含む）
スター精密株式会社 | 【東証一部上場】賞与実績5.72ヶ月☆年間休134日☆土日祝休み,☆「菊川駅」より工場直行の送迎シャトルバス運行中！☆ 【菊川工場】 静岡県菊川市三沢字北ノ谷150…,月給23万円以上＋各種手当＋賞与年2回（★2020年度実績：5.72ヶ月）
クリエーションライン株式会社 | 《クラウドインフラのリーディングカンパニー》★完全週休2日制,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給30万円〜
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【本社】静岡県磐田市岩井2000-1※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,"月給：26万5,000円〜35万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）"
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【磐田事業所】静岡県磐田市新貝2500※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,月給：24万円〜32万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【磐田事業所】静岡県磐田市新貝2500※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,月給：24万円〜32万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【本社】静岡県磐田市岩井2000-1※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,月給：22万円〜40万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【磐田事業所】静岡県磐田市新貝2500※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,"月給：23万5,000円〜32万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）"
ユニオンツール株式会社 | 東証一部上場企業！国内・世界のPCBドリル製品で圧倒的シェア！,【本社勤務／転勤なし／駅近オフィス】 東京都品川区南大井6-17-1,"月給208,000円〜252,000円"
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【本社】静岡県磐田市岩井2000-1※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,"月給：26万5,000円〜40万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）"
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【本社】静岡県磐田市岩井2000-1※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,月給：22万円〜40万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）
ワンダープラネット株式会社 | 代表作は全世界で1100万DLを突破した『クラッシュフィーバー』,【本社】 愛知県名古屋市中区錦3-23-18　ニューサカエビル5階 【東京オフィス】 東京都品川区…,"月給29万1,666円〜66万6,666円"
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【本社】静岡県磐田市岩井2000-1※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,"月給：23万5,000円〜35万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）"
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【本社】静岡県磐田市岩井2000-1※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,"月給：23万5,000円〜35万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）"
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【磐田事業所】静岡県磐田市新貝2500※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,月給：22万円〜32万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）
ヤマハモーターソリューション株式会社 | ヤマハ発動機グループのITサービス&ソリューション企業,【本社】静岡県磐田市岩井2000-1※マイカー通勤可※WEB面接可 ＜アクセス＞ ▼車・タクシー…,月給：27万円〜35万円+各種手当+賞与年2回（6ヶ月分※2019年度実績）
株式会社ヴィンクス | 流通小売業界に特化した超ユーザー系SI企業★昨年実績4.2ヶ月分,大阪・東京・千葉で大募集！ ▼本社 ※小売業界の基幹システム、POSシステム、人事系システム 大阪…,月給24万円〜51万5000円＋賞与年2回（昨年実績4.2ヶ月分）
株式会社SAT | ヒアリング～運用まで携わる★頑張り次第で早期昇格も可能です！,【転勤なし】 本社／ 福岡県福岡市中央区大手門3丁目10-9 大木大手門ビル2F ※福岡市営地下鉄…,月給26万円〜　＋諸手当
株式会社 サン・メルクス | 【設立20年以上】金融系およびAI・制御系システム開発のプロ集団,◆本社、および本社近郊のお客様先 ＜本社＞ 東京都港区六本木6-2-31 六本木ヒルズ ノースタワ…,年俸制：400万円〜530万円
株式会社ソフィア | 【ユースエール認定企業】年休124日以上/残業月平均8時間程度,【転勤なし】本社（静岡県浜松市アクトタワー18階）もしくは静岡県・愛知県エリアのお客様先 ▼本社…,月給24万円〜40万円＋賞与（昨年度実績3.6ヶ月分）
株式会社ソフィア | 【ユースエール認定企業】年休124日以上/残業月平均8時間程度,【転勤なし】本社（静岡県浜松市アクトタワー18階）もしくは静岡県・愛知県エリアのお客様先 ▼本社…,月給22万円〜35万円＋賞与（昨年度実績3.6ヶ月分）
ワイジェイFX株式会社 | 《Yahoo!JAPANグループ》FX取引などの金融サービス事業を展開,本社／東京都千代田区紀尾井町1-3　東京ガーデンテラス紀尾井町　紀尾井タワー23階 《アクセス》…,年俸400万円〜1200万円
ワイジェイFX株式会社 | 《Yahoo!JAPANグループ》FX取引などの金融サービス事業を展開, 本社／東京都千代田区紀尾井町1-3　東京ガーデンテラス紀尾井町　紀尾井タワー23階 《アクセス》…,年俸500万円〜1500万円
株式会社 ジェイマックシステム | 【札幌募集】医療に特化したシステムを、自社で開発～保守運用,【転勤なし／駅チカ好立地】 <本社> 北海道札幌市中央区北4条東1丁目2-3 (札幌フコク生命ビル…,年俸制：300万円〜450万円(一律手当含む)
ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,◆転勤なし・駅チカの好アクセス！ 《本社》 東京都千代田区神田練塀町 富士ソフト秋葉原ビル15F…,"■月給430,000円〜"
株式会社ブライトスター | 10月に新オフィス移転！年間休日120日以上/残業月10時間以内,首都圏エリア(東京都、埼玉県、神奈川県、千葉県) 本社：東京都荒川区東日暮里5-52-6折原ビル8F,"月給300,000円〜750,000円"
ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,◆転勤なし・駅チカの好アクセス！ 《本社》 東京都千代田区神田練塀町 富士ソフト秋葉原ビル15F…,"月給286,000円〜"
株式会社テレビ朝日,【テレビ朝日・本社】東京都港区六本木６-９-１ ※状況により在宅テレワークあり,"月給21万8,100円以上"
ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,◆転勤なし・駅チカの好アクセス！ 《本社》 東京都千代田区神田練塀町 富士ソフト秋葉原ビル15F…,"■月給430,000円〜"
株式会社ケイケンシステム | 独立系ソフトウェア開発企業◆駅チカ好立地◆残業月平均20h程度,【本社】 長野県長野市南千歳1-17-4 ケイケンビル ⇒「長野駅」より徒歩2分,月給21万〜50万円 ＋ 諸手当
株式会社ソフトガーデン | 社員を大切にする社員第一主義！無理な案件は一切なし/年休120日,「新横浜駅」徒歩1分の駅近！ ◆横浜事業所 神奈川県横浜市港北区新横浜3-7-18　日総第18ビル…,月給22万〜30万円
株式会社テレビ朝日メディアプレックス  | 《テレビ朝日グループ》ビックデータ基盤システムの技術に携わる,《転勤ナシ》 ＊原則テレワーク（在宅勤務）での就業となります。 ◆本社 東京都港区西麻布1-2-9…,月給25万円〜＋賞与年2回＋諸手当
フルタニ産業株式会社 | 完全週休2日制・土日祝休み／健康経営優良法人2021に認定！,《大阪本社（大阪市西区） ・ 東京オフィス（港区）・名古屋オフィス（中区）》 ※希望がない限り、転…,◆月給 20万円〜38万円
株式会社ウイサーブ | ★新人のうちから上流工程が経験できる！★転勤なし★年休120日,【転勤なし】東京都中央区新川2-3-1 セントラルスクエア9F,"月給：291,000円〜458,000円"
ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,◆転勤なし・駅チカの好アクセス！ 《本社》 東京都千代田区神田練塀町 富士ソフト秋葉原ビル15F…,"■月給286,000円〜"
株式会社Scene Live | 残業12H以下／完全土日祝日休み／フレックスタイム制,《転勤なし／本町駅から徒歩3分でアクセス抜群》 【本社】大阪府大阪市中央区備後町3-4-1 備後町…,◆月給25万円〜38万円+諸手当+賞与
株式会社ニア | 年間休日125日×残業月10H×経験の浅い方も自信をもって働ける！,【転勤なし・交通費全額支給！】 本社／宮城県仙台市青葉区五橋1-7-15 ピースビル五橋6階 ＜屋…,月給25万円〜45万円
クリエーションライン株式会社 | 《クラウドインフラのリーディングカンパニー》★完全週休2日制,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給40万円〜
株式会社NIT  | 通信ソフトウェアの開発を中心に事業展開／年有給取得平均12日,■プロジェクト毎にクライアント先に常駐（主に東京都内） 【本社】 東京都港区芝一丁目15番14号オ…,"月給：220,000円〜500,000円"
マンパワーグループ株式会社 | 世界80の国・地域に2600のオフィスを持つグローバル企業日本法人,【みなとみらい線「みなとみらい」駅直結】 【転勤なし】 神奈川県横浜市西区みなとみらい二丁目2番1…,"月給25万9,000円(一律手当含む)〜"
株式会社NIT  | 通信ソフトウェアの開発を中心に事業展開／年有給取得平均12日,■プロジェクト毎にクライアント先に常駐（主に東京都内） プロジェクトメンバーは2〜20人、 3ヶ月…,"月給：220,000円〜500,000円"
福味商事株式会社 | <100％自社内開発>年間休日125日(土日祝)/福利厚生も充実！,【転勤なし／UIターン歓迎】 福島県本宮市本宮字舘町161-2 ※マイカー通勤OK(無料駐車場あり),月給20万円〜
株式会社グルーヴ・ディレクション | ◆完全週休2日制◆ 年間休日125日（昨年実績）◆定着率90%以上,【転勤なし】東京都、千葉県、神奈川県、埼玉県のクライアント先 ●首都圏を中心に、中央区、江東区、千…,年俸400万円以上
株式会社NIT  | 通信ソフトウェアの開発を中心に事業展開／年有給取得平均12日,■プロジェクト毎にクライアント先に常駐（主に東京都内） 【本社】 東京都港区芝一丁目15番14号オ…,"月給：220,000円〜500,000円"
株式会社エステイエス | 完全週休2日/エンジニアが働きやすく成果を上げられる環境です！,◆本社または各プロジェクト先（東京および首都圏） ※通勤時間を考慮します 【本社】 東京都港区新橋…,年俸制 300万円〜600万円（1/12の金額を月々支給）
株式会社オートウェイ | 東証一部上場の『 株式会社プロトコーポレーション 』グループ,熊本オフィス：熊本県熊本市中央区水前寺3丁目3-25　増永水前寺ビル304号 ＜アクセス＞ JR豊…,"月給180,000円〜300,000円＋諸手当"
Ｗｏｒｌｄ　Ｕｔｉｌｉｔｙ株式会社 | 新社屋建設中！東京・大阪などからUIターン者多数◎WEB面接可,島根県松江市西津田2-8-24 カワタビル2F ※新社屋建設中（7月完成予定）！ 新しくきれいなオ…,"月給：200,000円〜400,000円＋諸手当"
株式会社コラボレーションシステム | 【GIGAスクール構想で成長市場】６つの充実した手当を完備,＼ 転勤なし・UIターン歓迎！ ／ 基本的には東京もしくは福岡(本社)での勤務となります。 【東京…,月給／23万円〜47万円 ＋ 諸手当+賞与
クリエーションライン株式会社 | 《クラウドインフラのリーディングカンパニー》★完全週休2日制,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給40万円〜
東京エレクトロンデバイス株式会社 | 東証一部上場・東京エレクトロングループ／福利厚生充実,＜京王新線「初台」駅より徒歩9分＞ ※転勤は当面想定しておりません。 【新宿サポートセンター】 東…,"月給20万6,000 円〜42万9,000円"
株式会社プロトソリューション | ＜『クルマまるごとグーネット』でおなじみ！＞☆福利厚生も充実,【駅チカでアクセスも良好！】 宮城県仙台市若林区新寺一丁目3-45 AI．Premium4F,"月給：233,000円以上 (一律手当含む)＋他手当+賞与(年2回)"
株式会社プロトソリューション | ＜『クルマまるごとグーネット』でおなじみ！＞☆福利厚生も充実,【駅チカでアクセスも良好！】 宮城県仙台市若林区新寺一丁目3-45 AI．Premium4F,"月給：243,000円以上(一律手当含む)＋他手当+賞与(年2回)"
東京エレクトロンデバイス株式会社 | 東証一部上場・東京エレクトロングループ　★フレックスタイム制,新宿オフィス／東京都新宿区西新宿3-7-1　新宿パークタワー S34階 【アクセス】 京王新線「初…,"月給20万6,000 円〜42万9,000円"
